Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2024-04-02 21:33:22,,UTC-07:00,61,54,87,33.90,96.90,,,,,2024-04-02 21:33:22,2024-04-03 06:56:11,81,13.8,440,562,377,30,33,122,543,97,79,54
2024-04-01 20:30:26,2024-04-02 21:33:22,UTC-07:00,7,64,81,33.60,,18.0,3666,182,80,2024-04-02 07:30:00,2024-04-02 08:45:00,10,14.0,61,75,61,0,0,13,607,97,96,
2024-03-31 21:57:34,2024-04-01 20:30:26,UTC-07:00,86,50,112,33.80,97.93,18.5,3379,190,73,2024-03-31 21:57:34,2024-04-01 06:53:41,87,13.8,459,533,335,57,67,74,529,45,86,
2024-03-30 00:00:00,2024-03-31 21:57:34,UTC-07:00,,,,,,0.0,13,84,56,,,,,,,,,,,,,,
2024-03-21 22:23:13,2024-03-22 22:23:13,UTC-07:00,,,,,,12.6,1829,159,85,,,,,,,,,,,,,,
2024-03-20 22:23:13,2024-03-21 22:23:13,UTC-07:00,8,55,81,33.44,100.00,13.3,2626,164,82,2024-03-21 04:30:35,2024-03-21 07:00:33,26,15.4,139,149,42,47,50,10,531,45,92,
2024-03-19 22:23:13,2024-03-20 22:23:13,UTC-07:00,86,51,114,33.65,98.18,12.6,2540,158,69,2024-03-19 22:23:13,2024-03-20 08:20:06,84,14.4,478,596,333,95,50,118,569,0,80,
2024-03-19 00:00:00,2024-03-19 22:23:13,UTC-07:00,,,,,,16.6,2574,163,87,,,,,,,,,,,,,,
2024-02-28 21:15:13,2024-02-29 21:15:13,UTC-08:00,88,46,119,33.60,98.50,4.9,1611,130,79,2024-02-28 21:15:13,2024-02-29 06:48:42,80,13.5,473,573,310,77,86,100,594,91,82,84
2024-02-27 21:24:18,2024-02-28 21:15:13,UTC-08:00,78,47,110,33.30,97.86,11.9,2429,166,64,2024-02-27 21:24:18,2024-02-28 08:20:20,76,13.8,454,656,311,84,59,202,597,85,72,82
2024-02-26 21:30:31,2024-02-27 21:24:18,UTC-08:00,87,49,125,33.90,98.16,13.5,2605,173,66,2024-02-26 21:30:31,2024-02-27 06:50:46,78,13.6,464,560,386,55,23,96,598,73,85,76
2024-02-25 21:30:35,2024-02-26 21:30:31,UTC-08:00,95,46,116,33.95,98.00,15.5,3031,174,66,2024-02-25 21:30:35,2024-02-26 08:20:04,81,14.0,499,649,278,116,105,150,614,127,76,66
2024-02-24 23:30:42,2024-02-25 21:30:35,UTC-08:00,61,47,80,34.00,96.43,4.2,1764,112,57,2024-02-24 23:30:42,2024-02-25 09:14:43,67,14.1,423,584,181,78,164,161,630,127,72,66
2024-02-23 19:22:09,2024-02-24 23:30:42,UTC-08:00,,,,,,11.8,1919,165,66,,,,,,,,,,,,,,
2024-02-22 23:30:00,2024-02-23 19:22:09,UTC-08:00,63,48,110,34.20,95.50,17.1,3041,181,73,2024-02-22 23:30:00,2024-02-23 06:50:00,49,14.0,304,440,148,60,96,136,619,104,71,61
2024-02-21 21:30:32,2024-02-22 23:30:00,UTC-08:00,87,50,108,33.60,98.80,14.2,2817,171,66,2024-02-21 21:30:32,2024-02-22 08:10:09,74,14.3,466,639,306,69,91,173,628,104,73,
2024-02-20 20:45:16,2024-02-21 21:30:32,UTC-08:00,91,51,111,33.74,98.00,15.5,3110,170,70,2024-02-20 20:45:16,2024-02-21 06:55:32,74,14.3,465,610,350,78,37,145,628,100,78,
2024-02-19 22:00:34,2024-02-20 20:45:16,UTC-08:00,11,46,120,33.90,98.50,16.0,2694,196,74,2024-02-19 22:00:34,2024-02-20 08:50:55,10,13.2,62,73,51,0,11,11,643,100,88,
2024-02-19 00:00:00,2024-02-19 22:00:34,UTC-08:00,,,,,,18.1,2202,175,87,,,,,,,,,,,,,,
2024-02-11 00:00:00,2024-02-12 00:00:00,UTC-08:00,,,,,,4.3,546,121,91,,,,,,,,,,,,,,
2024-02-08 21:40:13,2024-02-09 21:40:13,UTC-08:00,74,48,92,34.00,97.14,5.7,1867,126,66,2024-02-08 21:40:13,2024-02-09 06:50:19,68,13.7,419,550,335,49,35,131,620,110,76,69
2024-02-07 22:00:16,2024-02-08 21:40:13,UTC-08:00,63,49,84,34.70,97.45,13.2,2604,167,65,2024-02-07 22:00:16,2024-02-08 08:17:12,74,13.9,477,616,329,66,82,139,648,127,77,54
2024-02-06 20:35:00,2024-02-07 22:00:16,UTC-08:00,44,48,63,33.30,99.33,15.0,2969,173,68,2024-02-06 20:35:00,2024-02-07 06:55:00,64,13.9,402,620,262,71,69,218,628,117,66,56
2024-02-05 20:45:49,2024-02-06 20:35:00,UTC-08:00,92,49,114,34.00,97.93,17.6,3459,177,73,2024-02-05 20:45:49,2024-02-06 05:30:08,70,13.8,433,524,360,20,53,91,615,79,83,53
2024-02-04 20:35:58,2024-02-05 20:45:49,UTC-08:00,45,47,64,34.21,98.37,17.1,3236,181,67,2024-02-04 20:35:58,2024-02-05 07:00:55,80,13.6,491,624,243,94,154,133,615,127,79,40
2024-02-04 00:32:35,2024-02-04 20:35:58,UTC-08:00,6,50,141,34.80,99.00,5.1,1640,116,58,2024-02-04 00:32:35,2024-02-04 01:51:25,11,12.9,66,78,56,0,10,12,636,126,85,37
2024-02-02 21:44:00,2024-02-04 00:32:35,UTC-08:00,7,52,99,32.03,,16.3,3304,183,66,2024-02-03 10:41:00,2024-02-03 11:49:00,3,14.2,20,68,20,0,0,48,656,126,35,
2024-02-01 21:45:40,2024-02-02 21:44:00,UTC-08:00,23,49,50,33.49,98.44,14.3,2801,163,63,2024-02-01 21:45:40,2024-02-02 08:20:25,64,13.9,412,634,201,63,148,222,646,127,65,63
2024-01-31 21:00:00,2024-02-01 21:45:40,UTC-08:00,50,47,80,33.84,98.67,14.7,2918,165,70,2024-01-31 21:00:00,2024-02-01 04:35:00,55,14.2,337,455,282,46,9,118,614,127,74,50
2024-01-30 21:30:00,2024-01-31 21:00:00,UTC-08:00,1,50,45,32.10,,15.5,2992,169,65,2024-01-31 13:10:00,2024-01-31 14:10:00,6,14.7,37,60,34,3,0,23,614,127,87,
2024-01-29 21:00:16,2024-01-30 21:30:00,UTC-08:00,64,48,90,34.29,,17.7,3602,173,74,2024-01-29 21:00:16,2024-01-30 04:35:59,63,13.7,369,455,324,41,4,86,587,50,82,55
2024-01-28 21:00:38,2024-01-29 21:00:16,UTC-08:00,54,46,74,34.10,97.29,17.2,3336,178,69,2024-01-28 21:00:38,2024-01-29 06:50:23,86,14.1,496,589,230,85,181,93,574,85,86,70
2024-01-28 00:00:00,2024-01-28 21:00:38,UTC-08:00,,,,,,6.6,1211,128,76,,,,,,,,,,,,,,
2024-01-26 21:00:41,2024-01-28 00:00:00,UTC-08:00,45,47,70,34.10,97.78,17.4,3701,178,74,2024-01-26 21:00:41,2024-01-27 06:20:27,77,14.2,443,559,247,98,98,116,576,89,80,37
2024-01-25 23:23:52,2024-01-26 21:00:41,UTC-08:00,32,50,53,33.00,97.89,5.2,1768,123,58,2024-01-25 23:23:52,2024-01-26 09:35:46,71,14.0,441,611,218,74,149,162,620,110,73,29
2024-01-24 21:00:58,2024-01-25 23:23:52,UTC-08:00,68,47,94,34.20,98.57,13.2,2310,166,64,2024-01-24 21:00:58,2024-01-25 05:30:53,64,13.8,384,509,262,77,45,125,605,83,76,40
2024-01-23 20:59:50,2024-01-24 21:00:58,UTC-08:00,,,,,,15.2,2480,168,83,,,,,,,,,,,,,,
2024-01-22 20:59:50,2024-01-23 20:59:50,UTC-08:00,93,46,121,33.90,98.10,19.4,3985,184,78,2024-01-22 20:59:50,2024-01-23 05:29:20,72,13.4,434,507,335,60,39,73,600,60,88,49
2024-01-21 21:00:14,2024-01-22 20:59:50,UTC-08:00,73,46,83,33.90,96.93,17.7,3300,184,71,2024-01-21 21:00:14,2024-01-22 06:50:34,84,13.6,486,590,257,102,127,104,580,93,83,54
2024-01-21 00:49:21,2024-01-21 21:00:14,UTC-08:00,63,46,74,33.10,98.25,4.1,1618,112,59,2024-01-21 00:49:21,2024-01-21 10:29:23,69,13.7,427,580,234,97,96,153,615,83,73,75
2024-01-20 01:03:46,2024-01-21 00:49:21,UTC-08:00,53,48,66,34.10,98.50,16.5,3202,162,70,2024-01-20 01:03:46,2024-01-20 09:44:19,78,13.8,461,520,194,86,181,59,592,81,88,73
2024-01-18 22:14:07,2024-01-20 01:03:46,UTC-08:00,65,49,78,33.60,98.67,13.5,2879,164,63,2024-01-18 22:14:07,2024-01-19 08:48:06,80,13.8,495,633,320,92,83,138,621,81,78,72
2024-01-18 00:27:52,2024-01-18 22:14:07,UTC-08:00,33,47,49,33.10,97.70,17.6,3135,182,67,2024-01-18 00:27:52,2024-01-18 09:22:21,78,13.9,458,534,192,80,186,76,585,95,86,73
2024-01-16 23:28:22,2024-01-18 00:27:52,UTC-08:00,48,48,64,34.09,97.33,6.9,2163,145,57,2024-01-16 23:28:22,2024-01-17 10:07:21,77,14.0,494,638,314,105,75,144,643,127,77,57
2024-01-16 00:00:57,2024-01-16 23:28:22,UTC-08:00,35,47,57,33.20,98.80,14.2,2619,171,65,2024-01-16 00:00:57,2024-01-16 09:45:11,70,13.9,458,584,264,87,107,126,658,127,81,45
2024-01-15 00:25:51,2024-01-16 00:00:57,UTC-08:00,39,47,60,33.80,98.78,16.4,3074,178,66,2024-01-15 00:25:51,2024-01-15 08:51:01,68,13.9,418,503,139,98,181,85,617,127,83,33
2024-01-14 00:00:00,2024-01-15 00:25:51,UTC-08:00,,,,,,6.9,867,140,80,,,,,,,,,,,,,,
2024-01-12 23:03:28,2024-01-14 00:00:00,UTC-08:00,18,48,39,34.40,96.90,16.9,3488,170,77,2024-01-12 23:03:28,2024-01-13 05:10:41,52,14.1,317,367,214,46,57,50,615,127,86,64
2024-01-11 21:30:38,2024-01-12 23:03:28,UTC-08:00,40,51,74,33.60,98.86,4.8,2179,118,62,2024-01-11 21:30:38,2024-01-12 06:50:33,64,14.1,431,559,254,69,108,128,678,127,82,75
2024-01-10 20:50:07,2024-01-11 21:30:38,UTC-08:00,68,48,116,33.50,98.13,19.1,3979,178,77,2024-01-10 20:50:07,2024-01-11 04:36:40,53,14.1,347,466,251,50,46,119,660,127,77,79
2024-01-09 20:30:00,2024-01-10 20:50:07,UTC-08:00,21,50,55,33.30,97.57,16.6,3233,172,72,2024-01-09 20:30:00,2024-01-10 06:50:22,53,14.1,355,620,228,70,57,265,676,127,61,81
2024-01-08 20:46:10,2024-01-09 20:30:00,UTC-08:00,62,51,114,33.65,98.67,18.9,3717,178,77,2024-01-08 20:46:10,2024-01-09 04:33:12,50,14.4,303,467,226,20,57,164,609,78,69,58
2024-01-07 20:43:25,2024-01-08 20:46:10,UTC-08:00,57,49,80,34.40,98.00,16.4,3218,173,71,2024-01-07 20:43:25,2024-01-08 06:40:35,80,13.9,491,597,342,66,83,106,612,127,83,43
2024-01-07 00:00:00,2024-01-07 20:43:25,UTC-08:00,,,,,,0.0,16,78,55,,,,,,,,,,,,,,
2024-01-04 21:45:54,2024-01-05 21:45:54,UTC-08:00,54,50,98,33.80,99.00,5.1,1284,137,61,2024-01-04 21:45:54,2024-01-05 06:48:05,64,14.2,426,542,152,103,171,116,661,127,82,71
2024-01-03 20:26:21,2024-01-04 21:45:54,UTC-08:00,51,46,92,33.51,98.33,16.8,3444,165,75,2024-01-03 20:26:21,2024-01-04 04:42:42,58,14.0,385,496,265,61,59,111,665,127,81,53
2024-01-02 21:15:16,2024-01-03 20:26:21,UTC-08:00,74,47,105,34.25,98.61,17.3,3248,185,69,2024-01-02 21:15:16,2024-01-03 06:50:00,68,14.3,449,574,266,58,125,125,656,109,81,56
2024-01-01 20:00:00,2024-01-02 21:15:16,UTC-08:00,87,48,119,34.20,98.37,18.7,3922,170,76,2024-01-01 20:00:00,2024-01-02 04:35:00,72,14.6,445,515,257,96,92,70,615,127,89,28
2023-12-31 01:46:42,2024-01-01 20:00:00,UTC-08:00,29,47,98,34.50,97.57,5.6,1833,133,72,2023-12-31 01:46:42,2023-12-31 06:30:48,38,14.6,229,282,176,24,29,53,597,127,81,46
2023-12-29 22:26:47,2023-12-31 01:46:42,UTC-08:00,64,47,109,34.30,96.13,16.7,3356,179,70,2023-12-29 22:26:47,2023-12-30 06:20:07,57,13.9,385,473,269,48,68,88,672,127,81,92
