Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-04-02 21:33:22,,UTC-07:00,2024-04-02 21:33:22,2024-04-03 06:56:11,81,13.8,440,562,377,30,33,122,543,97,79,54,false
2024-04-01 20:30:26,2024-04-02 21:33:22,UTC-07:00,2024-04-02 13:09:00,2024-04-02 14:09:00,6,15.0,34,60,34,0,0,26,549,97,62,,true
2024-04-01 20:30:26,2024-04-02 21:33:22,UTC-07:00,2024-04-02 07:30:00,2024-04-02 08:45:00,10,14.0,61,75,61,0,0,13,607,97,96,,true
2024-04-01 20:30:26,2024-04-02 21:33:22,UTC-07:00,2024-04-01 20:30:26,2024-04-02 04:36:39,67,13.8,394,486,335,39,20,92,590,44,85,,false
2024-03-31 21:57:34,2024-04-01 20:30:26,UTC-07:00,2024-03-31 21:57:34,2024-04-01 06:53:41,87,13.8,459,533,335,57,67,74,529,45,86,,false
2024-03-20 22:23:13,2024-03-21 22:23:13,UTC-07:00,2024-03-21 04:30:35,2024-03-21 07:00:33,26,15.4,139,149,42,47,50,10,531,45,92,,true
2024-03-19 22:23:13,2024-03-20 22:23:13,UTC-07:00,2024-03-19 22:23:13,2024-03-20 08:20:06,84,14.4,478,596,333,95,50,118,569,0,80,,false
2024-02-28 21:15:13,2024-02-29 21:15:13,UTC-08:00,2024-02-29 15:00:00,2024-02-29 16:15:00,9,13.5,49,75,37,0,12,26,564,77,87,,true
2024-02-28 21:15:13,2024-02-29 21:15:13,UTC-08:00,2024-02-28 21:15:13,2024-02-29 06:48:42,80,13.5,473,573,310,77,86,100,594,91,82,84,false
2024-02-27 21:24:18,2024-02-28 21:15:13,UTC-08:00,2024-02-27 21:24:18,2024-02-28 08:20:20,76,13.8,454,656,311,84,59,202,597,85,72,82,false
2024-02-26 21:30:31,2024-02-27 21:24:18,UTC-08:00,2024-02-26 21:30:31,2024-02-27 06:50:46,78,13.6,464,560,386,55,23,96,598,73,85,76,false
2024-02-25 21:30:35,2024-02-26 21:30:31,UTC-08:00,2024-02-25 21:30:35,2024-02-26 08:20:04,81,14.0,499,649,278,116,105,150,614,127,76,66,false
2024-02-24 23:30:42,2024-02-25 21:30:35,UTC-08:00,2024-02-24 23:30:42,2024-02-25 09:14:43,67,14.1,423,584,181,78,164,161,630,127,72,66,false
2024-02-22 23:30:00,2024-02-23 19:22:09,UTC-08:00,2024-02-22 23:30:00,2024-02-23 06:50:00,49,14.0,304,440,148,60,96,136,619,104,71,61,false
2024-02-21 21:30:32,2024-02-22 23:30:00,UTC-08:00,2024-02-21 21:30:32,2024-02-22 08:10:09,74,14.3,466,639,306,69,91,173,628,104,73,,false
2024-02-20 20:45:16,2024-02-21 21:30:32,UTC-08:00,2024-02-20 20:45:16,2024-02-21 06:55:32,74,14.3,465,610,350,78,37,145,628,100,78,,false
2024-02-19 22:00:34,2024-02-20 20:45:16,UTC-08:00,2024-02-19 22:00:34,2024-02-20 08:50:55,10,13.2,62,73,51,0,11,11,643,100,88,,false
2024-02-08 21:40:13,2024-02-09 21:40:13,UTC-08:00,2024-02-08 21:40:13,2024-02-09 06:50:19,68,13.7,419,550,335,49,35,131,620,110,76,69,false
2024-02-07 22:00:16,2024-02-08 21:40:13,UTC-08:00,2024-02-07 22:00:16,2024-02-08 08:17:12,74,13.9,477,616,329,66,82,139,648,127,77,54,false
2024-02-06 20:35:00,2024-02-07 22:00:16,UTC-08:00,2024-02-06 20:35:00,2024-02-07 06:55:00,64,13.9,402,620,262,71,69,218,628,117,66,56,false
2024-02-05 20:45:49,2024-02-06 20:35:00,UTC-08:00,2024-02-06 12:57:00,2024-02-06 14:10:00,4,13.8,28,73,25,0,3,45,635,117,87,,true
2024-02-05 20:45:49,2024-02-06 20:35:00,UTC-08:00,2024-02-05 20:45:49,2024-02-06 05:30:08,70,13.8,433,524,360,20,53,91,615,79,83,53,false
2024-02-04 20:35:58,2024-02-05 20:45:49,UTC-08:00,2024-02-04 20:35:58,2024-02-05 07:00:55,80,13.6,491,624,243,94,154,133,615,127,79,40,false
2024-02-04 00:32:35,2024-02-04 20:35:58,UTC-08:00,2024-02-04 00:32:35,2024-02-04 01:51:25,11,12.9,66,78,56,0,10,12,636,126,85,37,false
2024-02-02 21:44:00,2024-02-04 00:32:35,UTC-08:00,2024-02-03 10:41:00,2024-02-03 11:49:00,3,14.2,20,68,20,0,0,48,656,126,35,,true
2024-02-02 21:44:00,2024-02-04 00:32:35,UTC-08:00,2024-02-02 21:44:00,2024-02-03 06:00:00,66,13.8,379,496,217,83,79,117,576,117,76,63,false
2024-02-01 21:45:40,2024-02-02 21:44:00,UTC-08:00,2024-02-02 13:03:00,2024-02-02 14:15:00,9,14.9,57,72,38,2,17,15,604,117,80,,true
2024-02-01 21:45:40,2024-02-02 21:44:00,UTC-08:00,2024-02-01 21:45:40,2024-02-02 08:20:25,64,13.9,412,634,201,63,148,222,646,127,65,63,false
2024-01-31 21:00:00,2024-02-01 21:45:40,UTC-08:00,2024-01-31 21:00:00,2024-02-01 04:35:00,55,14.2,337,455,282,46,9,118,614,127,74,50,false
