Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled
2024-04-02 21:33:22,,UTC-07:00,2024-04-03 17:12:00,2024-04-03 17:53:36,41,Activity,6.2,202.0,134,110,63,37,0,0,0,false
2024-04-02 21:33:22,,UTC-07:00,2024-04-03 15:00:00,2024-04-03 16:59:59,119,Swimming,14.5,952.0,177,126,20,25,29,16,0,false
2024-04-01 20:30:26,2024-04-02 21:33:22,UTC-07:00,2024-04-02 15:00:00,2024-04-02 16:59:59,119,Swimming,15.0,988.0,182,128,15,25,31,17,1,false
2024-04-01 20:30:26,2024-04-02 21:33:22,UTC-07:00,2024-04-02 05:21:00,2024-04-02 06:47:39,86,Swimming,12.9,726.0,171,129,17,42,31,10,0,false
2024-03-31 21:57:34,2024-04-01 20:30:26,UTC-07:00,2024-04-01 17:13:30,2024-04-01 17:43:05,29,Running,8.4,228.0,190,125,17,40,16,9,6,false
2024-03-31 21:57:34,2024-04-01 20:30:26,UTC-07:00,2024-04-01 15:00:30,2024-04-01 16:59:36,119,Swimming,17.4,1304.0,185,142,8,19,29,36,6,false
2024-03-21 22:23:13,2024-03-22 22:23:13,UTC-07:00,2024-03-22 16:12:00,2024-03-22 16:43:29,31,Swimming,7.7,255.0,159,127,15,50,34,1,0,false
2024-03-21 22:23:13,2024-03-22 22:23:13,UTC-07:00,2024-03-22 15:04:30,2024-03-22 15:53:59,49,Swimming,8.4,343.0,159,121,16,65,16,0,0,false
2024-03-20 22:23:13,2024-03-21 22:23:13,UTC-07:00,2024-03-21 15:07:30,2024-03-21 16:40:29,92,Swimming,11.8,651.0,164,121,19,38,32,2,0,false
2024-03-19 22:23:13,2024-03-20 22:23:13,UTC-07:00,2024-03-20 15:06:00,2024-03-20 17:01:29,115,Swimming,10.2,584.0,158,111,38,42,9,0,0,false
2024-03-19 00:00:00,2024-03-19 22:23:13,UTC-07:00,2024-03-19 17:14:00,2024-03-19 18:14:00,60,Basketball,10.0,413.0,163,121,21,23,39,1,0,false
2024-03-19 00:00:00,2024-03-19 22:23:13,UTC-07:00,2024-03-19 14:58:30,2024-03-19 17:00:29,121,Swimming,14.2,1030.0,162,129,12,34,49,3,0,false
2024-02-27 21:24:18,2024-02-28 21:15:13,UTC-08:00,2024-02-28 15:01:30,2024-02-28 15:56:59,55,Swimming,9.9,437.0,166,126,13,51,32,2,0,false
